Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal
Tin Srbić,Croatia,CRO,Summer,2020,Tokyo,Artistic Gymnastics,"Horizontal Bar, Men",Silver
Nikita Nagorny,Russia,ROC,Summer,2020,Tokyo,Artistic Gymnastics,"Horizontal Bar, Men",Bronze
Liu Yang,China,CHN,Summer,2020,Tokyo,Artistic Gymnastics,"Rings, Men",Gold
You Hao,China,CHN,Summer,2020,Tokyo,Artistic Gymnastics,"Rings, Men",Silver
Lefteris Petrounias,Greece,GRE,Summer,2020,Tokyo,Artistic Gymnastics,"Rings, Men",Bronze
Max Whitlock,Uk,GBR,Summer,2020,Tokyo,Artistic Gymnastics,"Pommelled Horse, Men",Gold
Lee Chih-Kai,Taiwan,TPE,Summer,2020,Tokyo,Artistic Gymnastics,"Pommelled Horse, Men",Silver
Kazuma Kaya,Japan,JPN,Summer,2020,Tokyo,Artistic Gymnastics,"Pommelled Horse, Men",Bronze
Suni Lee,United States,USA,Summer,2020,Tokyo,Artistic Gymnastics,"Individual All-Around, Women",Gold
Rebeca Andrade,Brazil,BRA,Summer,2020,Tokyo,Artistic Gymnastics,"Individual All-Around, Women",Silver
Angelina Melnikova,Russia,ROC,Summer,2020,Tokyo,Artistic Gymnastics,"Individual All-Around, Women",Bronze
Russia,Russia,ROC,Summer,2020,Tokyo,Artistic Gymnastics,"Team All-Around, Women",Gold
United States,United States,USA,Summer,2020,Tokyo,Artistic Gymnastics,"Team All-Around, Women",Silver
Uk,Uk,GBR,Summer,2020,Tokyo,Artistic Gymnastics,"Team All-Around, Women",Bronze
Jade Carey,United States,USA,Summer,2020,Tokyo,Artistic Gymnastics,"Floor Exercise, Women",Gold
Vanessa Ferrari,Italy,ITA,Summer,2020,Tokyo,Artistic Gymnastics,"Floor Exercise, Women",Silver
Rebeca Andrade,Brazil,BRA,Summer,2020,Tokyo,Artistic Gymnastics,"Horse Vault, Women",Gold
Mykayla Skinner,United States,USA,Summer,2020,Tokyo,Artistic Gymnastics,"Horse Vault, Women",Silver
Yeo Seo-Jeong,South Korea,KOR,Summer,2020,Tokyo,Artistic Gymnastics,"Horse Vault, Women",Bronze
Nina Derwael,Belgium,BEL,Summer,2020,Tokyo,Artistic Gymnastics,"Uneven Bars, Women",Gold
Anastasiya Ilyankova,Russia,ROC,Summer,2020,Tokyo,Artistic Gymnastics,"Uneven Bars, Women",Silver
Suni Lee,United States,USA,Summer,2020,Tokyo,Artistic Gymnastics,"Uneven Bars, Women",Bronze
Guan Chenchen,China,CHN,Summer,2020,Tokyo,Artistic Gymnastics,"Balance Beam, Women",Gold
Tang Xijing,China,CHN,Summer,2020,Tokyo,Artistic Gymnastics,"Balance Beam, Women",Silver
Simone Biles,United States,USA,Summer,2020,Tokyo,Artistic Gymnastics,"Balance Beam, Women",Bronze
Russia,Russia,ROC,Summer,2020,Tokyo,Artistic Swimming,"Duet, Women",Gold
China,China,CHN,Summer,2020,Tokyo,Artistic Swimming,"Duet, Women",Silver
Ukraine,Ukraine,UKR,Summer,2020,Tokyo,Artistic Swimming,"Duet, Women",Bronze
Russia,Russia,ROC,Summer,2020,Tokyo,Artistic Swimming,"Team, Women",Gold
China,China,CHN,Summer,2020,Tokyo,Artistic Swimming,"Team, Women",Silver
Ukraine,Ukraine,UKR,Summer,2020,Tokyo,Artistic Swimming,"Team, Women",Bronze
Lamont Marcell Jacobs,Italy,ITA,Summer,2020,Tokyo,Athletics,"100 Metres, Men",Gold
Fred Kerley,United States,USA,Summer,2020,Tokyo,Athletics,"100 Metres, Men",Silver
Andre De Grasse,Canada,CAN,Summer,2020,Tokyo,Athletics,"100 Metres, Men",Bronze
Andre De Grasse,Canada,CAN,Summer,2020,Tokyo,Athletics,"200 Metres, Men",Gold
Kenny Bednarek,United States,USA,Summer,2020,Tokyo,Athletics,"200 Metres, Men",Silver
Noah Lyles,United States,USA,Summer,2020,Tokyo,Athletics,"200 Metres, Men",Bronze
Steven Gardiner,Bahamas,BAH,Summer,2020,Tokyo,Athletics,"400 Metres, Men",Gold
Anthony Zambrano,Colombia,COL,Summer,2020,Tokyo,Athletics,"400 Metres, Men",Silver
Kirani James,Grenada,GRN,Summer,2020,Tokyo,Athletics,"400 Metres, Men",Bronze
Emmanuel Korir,Kenya,KEN,Summer,2020,Tokyo,Athletics,"800 Metres, Men",Gold
Ferguson Rotich,Kenya,KEN,Summer,2020,Tokyo,Athletics,"800 Metres, Men",Silver
Patryk Dobek,Poland,POL,Summer,2020,Tokyo,Athletics,"800 Metres, Men",Bronze
Jakob Ingebrigtsen,Norway,NOR,Summer,2020,Tokyo,Athletics,"1,500 Metres, Men",Gold
Timothy Cheruiyot,Kenya,KEN,Summer,2020,Tokyo,Athletics,"1,500 Metres, Men",Silver
Josh Kerr,Uk,GBR,Summer,2020,Tokyo,Athletics,"1,500 Metres, Men",Bronze
Joshua Cheptegei,Uganda,UGA,Summer,2020,Tokyo,Athletics,"5,000 Metres, Men",Gold
Moh Ahmed,Canada,CAN,Summer,2020,Tokyo,Athletics,"5,000 Metres, Men",Silver
Paul Chelimo,United States,USA,Summer,2020,Tokyo,Athletics,"5,000 Metres, Men",Bronze
Selemon Barega,Ethiopia,ETH,Summer,2020,Tokyo,Athletics,"10,000 Metres, Men",Gold
Joshua Cheptegei,Uganda,UGA,Summer,2020,Tokyo,Athletics,"10,000 Metres, Men",Silver
Jacob Kiplimo,Uganda,UGA,Summer,2020,Tokyo,Athletics,"10,000 Metres, Men",Bronze
Eliud Kipchoge,Kenya,KEN,Summer,2020,Tokyo,Athletics,"Marathon, Men",Gold
Abdi Nageeye,Netherlands,NED,Summer,2020,Tokyo,Athletics,"Marathon, Men",Silver
Bashir Abdi,Belgium,BEL,Summer,2020,Tokyo,Athletics,"Marathon, Men",Bronze
Hansle Parchment,Jamaica,JAM,Summer,2020,Tokyo,Athletics,"110 Metres Hurdles, Men",Gold
Grant Holloway,United States,USA,Summer,2020,Tokyo,Athletics,"110 Metres Hurdles, Men",Silver
Ronald Levy,Jamaica,JAM,Summer,2020,Tokyo,Athletics,"110 Metres Hurdles, Men",Bronze
Karsten Warholm,Norway,NOR,Summer,2020,Tokyo,Athletics,"400 Metres Hurdles, Men",Gold
Rai Benjamin,United States,USA,Summer,2020,Tokyo,Athletics,"400 Metres Hurdles, Men",Silver
Alison Dos Santos,Brazil,BRA,Summer,2020,Tokyo,Athletics,"400 Metres Hurdles, Men",Bronze
Soufiane El-Bakkali,Morocco,MAR,Summer,2020,Tokyo,Athletics,"3,000 Metres Steeplechase, Men",Gold
Lamecha Girma,Ethiopia,ETH,Summer,2020,Tokyo,Athletics,"3,000 Metres Steeplechase, Men",Silver
Benjamin Kigen,Kenya,KEN,Summer,2020,Tokyo,Athletics,"3,000 Metres Steeplechase, Men",Bronze
Italy,Italy,ITA,Summer,2020,Tokyo,Athletics,"4 × 100 Metres Relay, Men",Gold
Canada,Canada,CAN,Summer,2020,Tokyo,Athletics,"4 × 100 Metres Relay, Men",Silver
China,China,CHN,Summer,2020,Tokyo,Athletics,"4 × 100 Metres Relay, Men",Bronze
United States,United States,USA,Summer,2020,Tokyo,Athletics,"4 × 400 Metres Relay, Men",Gold
Netherlands,Netherlands,NED,Summer,2020,Tokyo,Athletics,"4 × 400 Metres Relay, Men",Silver
Botswana,Botswana,BOT,Summer,2020,Tokyo,Athletics,"4 × 400 Metres Relay, Men",Bronze
Massimo Stano,Italy,ITA,Summer,2020,Tokyo,Athletics,"20 Kilometres Race Walk, Men",Gold
Koki Ikeda,Japan,JPN,Summer,2020,Tokyo,Athletics,"20 Kilometres Race Walk, Men",Silver
Toshikazu Yamanishi,Japan,JPN,Summer,2020,Tokyo,Athletics,"20 Kilometres Race Walk, Men",Bronze
Dawid Tomala,Poland,POL,Summer,2020,Tokyo,Athletics,"50 Kilometres Race Walk, Men",Gold
Jonathan Hilbert,Germany,GER,Summer,2020,Tokyo,Athletics,"50 Kilometres Race Walk, Men",Silver
Evan Dunfee,Canada,CAN,Summer,2020,Tokyo,Athletics,"50 Kilometres Race Walk, Men",Bronze
[],,,Summer,2020,Tokyo,Athletics,"High Jump, Men",Silver
Maksim Nedasekau,Belarus,BLR,Summer,2020,Tokyo,Athletics,"High Jump, Men",Bronze
Mondo Duplantis,Sweden,SWE,Summer,2020,Tokyo,Athletics,"Pole Vault, Men",Gold
Chris Nilsen,United States,USA,Summer,2020,Tokyo,Athletics,"Pole Vault, Men",Silver
Thiago Braz,Brazil,BRA,Summer,2020,Tokyo,Athletics,"Pole Vault, Men",Bronze
Miltiadis Tentoglou,Greece,GRE,Summer,2020,Tokyo,Athletics,"Long Jump, Men",Gold
Juan Miguel Echevarría,Cuba,CUB,Summer,2020,Tokyo,Athletics,"Long Jump, Men",Silver
Maykel Massó,Cuba,CUB,Summer,2020,Tokyo,Athletics,"Long Jump, Men",Bronze
Pedro Pablo Pichardo,Portugal,POR,Summer,2020,Tokyo,Athletics,"Triple Jump, Men",Gold
Zhu Yaming,China,CHN,Summer,2020,Tokyo,Athletics,"Triple Jump, Men",Silver
Hugues Zango,Burkina Faso,BUR,Summer,2020,Tokyo,Athletics,"Triple Jump, Men",Bronze
Ryan Crouser,United States,USA,Summer,2020,Tokyo,Athletics,"Shot Put, Men",Gold
Joe Kovacs,United States,USA,Summer,2020,Tokyo,Athletics,"Shot Put, Men",Silver
Tom Walsh,New Zealand,NZL,Summer,2020,Tokyo,Athletics,"Shot Put, Men",Bronze
Daniel Ståhl,Sweden,SWE,Summer,2020,Tokyo,Athletics,"Discus Throw, Men",Gold
Simon Pettersson,Sweden,SWE,Summer,2020,Tokyo,Athletics,"Discus Throw, Men",Silver
Lukas Weißhaidinger,Austria,AUT,Summer,2020,Tokyo,Athletics,"Discus Throw, Men",Bronze
Wojciech Nowicki,Poland,POL,Summer,2020,Tokyo,Athletics,"Hammer Throw, Men",Gold
Eivind Henriksen,Norway,NOR,Summer,2020,Tokyo,Athletics,"Hammer Throw, Men",Silver
Paweł Fajdek,Poland,POL,Summer,2020,Tokyo,Athletics,"Hammer Throw, Men",Bronze
Neeraj Chopra,India,IND,Summer,2020,Tokyo,Athletics,"Javelin Throw, Men",Gold
Jakub Vadlejch,Czech Republic,CZE,Summer,2020,Tokyo,Athletics,"Javelin Throw, Men",Silver
Vítězslav Veselý,Czech Republic,CZE,Summer,2020,Tokyo,Athletics,"Javelin Throw, Men",Bronze
Damian Warner,Canada,CAN,Summer,2020,Tokyo,Athletics,"Decathlon, Men",Gold
Kévin Mayer,France,FRA,Summer,2020,Tokyo,Athletics,"Decathlon, Men",Silver
Ashley Moloney,Australia,AUS,Summer,2020,Tokyo,Athletics,"Decathlon, Men",Bronze
Elaine Thompson-Herah,Jamaica,JAM,Summer,2020,Tokyo,Athletics,"100 Metres, Women",Gold
Shelly-Ann Fraser-Pryce,Jamaica,JAM,Summer,2020,Tokyo,Athletics,"100 Metres, Women",Silver
Shericka Jackson,Jamaica,JAM,Summer,2020,Tokyo,Athletics,"100 Metres, Women",Bronze
Elaine Thompson-Herah,Jamaica,JAM,Summer,2020,Tokyo,Athletics,"200 Metres, Women",Gold
Christine Mboma,Namibia,NAM,Summer,2020,Tokyo,Athletics,"200 Metres, Women",Silver
Gabby Thomas,United States,USA,Summer,2020,Tokyo,Athletics,"200 Metres, Women",Bronze
Shaunae Miller-Uibo,Bahamas,BAH,Summer,2020,Tokyo,Athletics,"400 Metres, Women",Gold
Marileidy Paulino,Dominican Republic,DOM,Summer,2020,Tokyo,Athletics,"400 Metres, Women",Silver
Allyson Felix,United States,USA,Summer,2020,Tokyo,Athletics,"400 Metres, Women",Bronze
Athing Mu,United States,USA,Summer,2020,Tokyo,Athletics,"800 Metres, Women",Gold
Keely Hodgkinson,Uk,GBR,Summer,2020,Tokyo,Athletics,"800 Metres, Women",Silver
Raevyn Rogers,United States,USA,Summer,2020,Tokyo,Athletics,"800 Metres, Women",Bronze
Faith Kipyegon,Kenya,KEN,Summer,2020,Tokyo,Athletics,"1,500 Metres, Women",Gold
Laura Muir,Uk,GBR,Summer,2020,Tokyo,Athletics,"1,500 Metres, Women",Silver
Sifan Hassan,Netherlands,NED,Summer,2020,Tokyo,Athletics,"1,500 Metres, Women",Bronze
Sifan Hassan,Netherlands,NED,Summer,2020,Tokyo,Athletics,"5,000 Metres, Women",Gold
Hellen Obiri,Kenya,KEN,Summer,2020,Tokyo,Athletics,"5,000 Metres, Women",Silver
Gudaf Tsegay,Ethiopia,ETH,Summer,2020,Tokyo,Athletics,"5,000 Metres, Women",Bronze
Sifan Hassan,Netherlands,NED,Summer,2020,Tokyo,Athletics,"10,000 Metres, Women",Gold
Kalkidan Gezahegne,Bahrain,BRN,Summer,2020,Tokyo,Athletics,"10,000 Metres, Women",Silver
Letesenbet Gidey,Ethiopia,ETH,Summer,2020,Tokyo,Athletics,"10,000 Metres, Women",Bronze
Peres Jepchirchir,Kenya,KEN,Summer,2020,Tokyo,Athletics,"Marathon, Women",Gold
Brigid Kosgei,Kenya,KEN,Summer,2020,Tokyo,Athletics,"Marathon, Women",Silver
Molly Seidel,United States,USA,Summer,2020,Tokyo,Athletics,"Marathon, Women",Bronze
Jasmine Camacho-Quinn,Puerto Rico,PUR,Summer,2020,Tokyo,Athletics,"100 Metres Hurdles, Women",Gold
Keni Harrison,United States,USA,Summer,2020,Tokyo,Athletics,"100 Metres Hurdles, Women",Silver
Megan Tapper,Jamaica,JAM,Summer,2020,Tokyo,Athletics,"100 Metres Hurdles, Women",Bronze
Sydney Mclaughlin,United States,USA,Summer,2020,Tokyo,Athletics,"400 Metres Hurdles, Women",Gold
Dalilah Muhammad,United States,USA,Summer,2020,Tokyo,Athletics,"400 Metres Hurdles, Women",Silver
Femke Bol,Netherlands,NED,Summer,2020,Tokyo,Athletics,"400 Metres Hurdles, Women",Bronze
Peruth Chemutai,Uganda,UGA,Summer,2020,Tokyo,Athletics,"3,000 Metres Steeplechase, Women",Gold
Courtney Frerichs,United States,USA,Summer,2020,Tokyo,Athletics,"3,000 Metres Steeplechase, Women",Silver
Hyvin Kiyeng,Kenya,KEN,Summer,2020,Tokyo,Athletics,"3,000 Metres Steeplechase, Women",Bronze
Jamaica,Jamaica,JAM,Summer,2020,Tokyo,Athletics,"4 × 100 Metres Relay, Women",Gold
United States,United States,USA,Summer,2020,Tokyo,Athletics,"4 × 100 Metres Relay, Women",Silver
Uk,Uk,GBR,Summer,2020,Tokyo,Athletics,"4 × 100 Metres Relay, Women",Bronze
United States,United States,USA,Summer,2020,Tokyo,Athletics,"4 × 400 Metres Relay, Women",Gold
Poland,Poland,POL,Summer,2020,Tokyo,Athletics,"4 × 400 Metres Relay, Women",Silver
Jamaica,Jamaica,JAM,Summer,2020,Tokyo,Athletics,"4 × 400 Metres Relay, Women",Bronze
Antonella Palmisano,Italy,ITA,Summer,2020,Tokyo,Athletics,"20 Kilometres Race Walk, Women",Gold
Sandra Arenas,Colombia,COL,Summer,2020,Tokyo,Athletics,"20 Kilometres Race Walk, Women",Silver
Liu Hong,China,CHN,Summer,2020,Tokyo,Athletics,"20 Kilometres Race Walk, Women",Bronze
Mariya Lasitskene,Russia,ROC,Summer,2020,Tokyo,Athletics,"High Jump, Women",Gold
Nicola Mcdermott,Australia,AUS,Summer,2020,Tokyo,Athletics,"High Jump, Women",Silver
Yaroslava Mahuchikh,Ukraine,UKR,Summer,2020,Tokyo,Athletics,"High Jump, Women",Bronze
Katie Nageotte,United States,USA,Summer,2020,Tokyo,Athletics,"Pole Vault, Women",Gold
Anzhelika Sidorova,Russia,ROC,Summer,2020,Tokyo,Athletics,"Pole Vault, Women",Silver
Holly Bradshaw,Uk,GBR,Summer,2020,Tokyo,Athletics,"Pole Vault, Women",Bronze
Malaika Mihambo,Germany,GER,Summer,2020,Tokyo,Athletics,"Long Jump, Women",Gold
Brittney Reese,United States,USA,Summer,2020,Tokyo,Athletics,"Long Jump, Women",Silver
Ese Brume,Nigeria,NGR,Summer,2020,Tokyo,Athletics,"Long Jump, Women",Bronze
Yulimar Rojas,Venezuela,VEN,Summer,2020,Tokyo,Athletics,"Triple Jump, Women",Gold
Patrícia Mamona,Portugal,POR,Summer,2020,Tokyo,Athletics,"Triple Jump, Women",Silver
Ana Peleteiro,Spain,ESP,Summer,2020,Tokyo,Athletics,"Triple Jump, Women",Bronze
Gong Lijiao,China,CHN,Summer,2020,Tokyo,Athletics,"Shot Put, Women",Gold
Raven Saunders,United States,USA,Summer,2020,Tokyo,Athletics,"Shot Put, Women",Silver
Valerie Adams,New Zealand,NZL,Summer,2020,Tokyo,Athletics,"Shot Put, Women",Bronze
Valarie Allman,United States,USA,Summer,2020,Tokyo,Athletics,"Discus Throw, Women",Gold
Kristin Pudenz,Germany,GER,Summer,2020,Tokyo,Athletics,"Discus Throw, Women",Silver
Yaimé Pérez,Cuba,CUB,Summer,2020,Tokyo,Athletics,"Discus Throw, Women",Bronze
Anita Włodarczyk,Poland,POL,Summer,2020,Tokyo,Athletics,"Hammer Throw, Women",Gold
Wang Zheng,China,CHN,Summer,2020,Tokyo,Athletics,"Hammer Throw, Women",Silver
Malwina Kopron,Poland,POL,Summer,2020,Tokyo,Athletics,"Hammer Throw, Women",Bronze
Liu Shiying,China,CHN,Summer,2020,Tokyo,Athletics,"Javelin Throw, Women",Gold
Maria Andrejczyk,Poland,POL,Summer,2020,Tokyo,Athletics,"Javelin Throw, Women",Silver
Kelsey-Lee Barber,Australia,AUS,Summer,2020,Tokyo,Athletics,"Javelin Throw, Women",Bronze
Nafi Thiam,Belgium,BEL,Summer,2020,Tokyo,Athletics,"Heptathlon, Women",Gold
Anouk Vetter,Netherlands,NED,Summer,2020,Tokyo,Athletics,"Heptathlon, Women",Silver
Emma Oosterwegel,Netherlands,NED,Summer,2020,Tokyo,Athletics,"Heptathlon, Women",Bronze
Poland,Poland,POL,Summer,2020,Tokyo,Athletics,"4 × 400 Metres Relay, Mixed",Gold
Dominican Republic,Dominican Republic,DOM,Summer,2020,Tokyo,Athletics,"4 × 400 Metres Relay, Mixed",Silver
United States,United States,USA,Summer,2020,Tokyo,Athletics,"4 × 400 Metres Relay, Mixed",Bronze
Viktor Axelsen,Denmark,DEN,Summer,2020,Tokyo,Badminton,"Singles, Men",Gold
Chen Long,China,CHN,Summer,2020,Tokyo,Badminton,"Singles, Men",Silver
Anthony Sinisuka Ginting,Indonesia,INA,Summer,2020,Tokyo,Badminton,"Singles, Men",Bronze
Taiwan,Taiwan,TPE,Summer,2020,Tokyo,Badminton,"Doubles, Men",Gold
China,China,CHN,Summer,2020,Tokyo,Badminton,"Doubles, Men",Silver
Malaysia,Malaysia,MAS,Summer,2020,Tokyo,Badminton,"Doubles, Men",Bronze
Chen Yufei,China,CHN,Summer,2020,Tokyo,Badminton,"Singles, Women",Gold
Tai Tzu-Ying,Taiwan,TPE,Summer,2020,Tokyo,Badminton,"Singles, Women",Silver
P. V. Sindhu,India,IND,Summer,2020,Tokyo,Badminton,"Singles, Women",Bronze
Indonesia,Indonesia,INA,Summer,2020,Tokyo,Badminton,"Doubles, Women",Gold
China,China,CHN,Summer,2020,Tokyo,Badminton,"Doubles, Women",Silver
South Korea,South Korea,KOR,Summer,2020,Tokyo,Badminton,"Doubles, Women",Bronze
China,China,CHN,Summer,2020,Tokyo,Badminton,"Doubles, Mixed",Gold
China,China,CHN,Summer,2020,Tokyo,Badminton,"Doubles, Mixed",Silver
Japan,Japan,JPN,Summer,2020,Tokyo,Badminton,"Doubles, Mixed",Bronze
Japan,Japan,JPN,Summer,2020,Tokyo,Baseball,"Baseball, Men",Gold
United States,United States,USA,Summer,2020,Tokyo,Baseball,"Baseball, Men",Silver
Dominican Republic,Dominican Republic,DOM,Summer,2020,Tokyo,Baseball,"Baseball, Men",Bronze
United States,United States,USA,Summer,2020,Tokyo,Basketball,"Basketball, Men",Gold
France,France,FRA,Summer,2020,Tokyo,Basketball,"Basketball, Men",Silver
Australia,Australia,AUS,Summer,2020,Tokyo,Basketball,"Basketball, Men",Bronze
United States,United States,USA,Summer,2020,Tokyo,Basketball,"Basketball, Women",Gold
Japan,Japan,JPN,Summer,2020,Tokyo,Basketball,"Basketball, Women",Silver
France,France,FRA,Summer,2020,Tokyo,Basketball,"Basketball, Women",Bronze
Norway,Norway,NOR,Summer,2020,Tokyo,Beach Volleyball,"Beach Volleyball, Men",Gold
Russia,Russia,ROC,Summer,2020,Tokyo,Beach Volleyball,"Beach Volleyball, Men",Silver
Qatar,Qatar,QAT,Summer,2020,Tokyo,Beach Volleyball,"Beach Volleyball, Men",Bronze
United States,United States,USA,Summer,2020,Tokyo,Beach Volleyball,"Beach Volleyball, Women",Gold
Australia,Australia,AUS,Summer,2020,Tokyo,Beach Volleyball,"Beach Volleyball, Women",Silver
Switzerland,Switzerland,SUI,Summer,2020,Tokyo,Beach Volleyball,"Beach Volleyball, Women",Bronze
Galal Yafai,Uk,GBR,Summer,2020,Tokyo,Boxing,"Flyweight, Men",Gold
Carlo Paalam,Philippines,PHI,Summer,2020,Tokyo,Boxing,"Flyweight, Men",Silver
Albert Batyrgaziyev,Russia,ROC,Summer,2020,Tokyo,Boxing,"Featherweight, Men",Gold
Duke Ragan,United States,USA,Summer,2020,Tokyo,Boxing,"Featherweight, Men",Silver
Andy Cruz,Cuba,CUB,Summer,2020,Tokyo,Boxing,"Lightweight, Men",Gold
Keyshawn Davis,United States,USA,Summer,2020,Tokyo,Boxing,"Lightweight, Men",Silver
Roniel Iglesias,Cuba,CUB,Summer,2020,Tokyo,Boxing,"Welterweight, Men",Gold
Pat Mccormack,Uk,GBR,Summer,2020,Tokyo,Boxing,"Welterweight, Men",Silver
Hebert Conceição,Brazil,BRA,Summer,2020,Tokyo,Boxing,"Middleweight, Men",Gold
Oleksandr Khyzhniak,Ukraine,UKR,Summer,2020,Tokyo,Boxing,"Middleweight, Men",Silver
Arlen López,Cuba,CUB,Summer,2020,Tokyo,Boxing,"Light-Heavyweight, Men",Gold
Ben Whittaker,Uk,GBR,Summer,2020,Tokyo,Boxing,"Light-Heavyweight, Men",Silver
Julio César La Cruz,Cuba,CUB,Summer,2020,Tokyo,Boxing,"Heavyweight, Men",Gold
Muslim Gadzhimagomedov,Russia,ROC,Summer,2020,Tokyo,Boxing,"Heavyweight, Men",Silver
Bakhodir Dzhalolov,Uzbekistan,UZB,Summer,2020,Tokyo,Boxing,"Super-Heavyweight, Men",Gold
Richard Torrez,United States,USA,Summer,2020,Tokyo,Boxing,"Super-Heavyweight, Men",Silver
Stoyka Krasteva,Bulgaria,BUL,Summer,2020,Tokyo,Boxing,"Flyweight, Women",Gold
Buse Naz Çakıroğlu,Turkey,TUR,Summer,2020,Tokyo,Boxing,"Flyweight, Women",Silver
Sena Irie,Japan,JPN,Summer,2020,Tokyo,Boxing,"Featherweight, Women",Gold
Nesthy Petecio,Philippines,PHI,Summer,2020,Tokyo,Boxing,"Featherweight, Women",Silver
Kellie Harrington,Ireland,IRL,Summer,2020,Tokyo,Boxing,"Lightweight, Women",Gold
Beatriz Ferreira,Brazil,BRA,Summer,2020,Tokyo,Boxing,"Lightweight, Women",Silver
Busenaz Sürmeneli,Turkey,TUR,Summer,2020,Tokyo,Boxing,"Welterweight, Women",Gold
Gu Hong,China,CHN,Summer,2020,Tokyo,Boxing,"Welterweight, Women",Silver
Lauren Price,Uk,GBR,Summer,2020,Tokyo,Boxing,"Middleweight, Women",Gold
Li Qian,China,CHN,Summer,2020,Tokyo,Boxing,"Middleweight, Women",Silver
Jiří Prskavec,Czech Republic,CZE,Summer,2020,Tokyo,Canoe Slalom,"Kayak Singles, Slalom, Men",Gold
Jakub Grigar,Slovakia,SVK,Summer,2020,Tokyo,Canoe Slalom,"Kayak Singles, Slalom, Men",Silver
Hannes Aigner,Germany,GER,Summer,2020,Tokyo,Canoe Slalom,"Kayak Singles, Slalom, Men",Bronze
Benjamin Savšek,Slovenia,SLO,Summer,2020,Tokyo,Canoe Slalom,"Canadian Singles, Slalom, Men",Gold
Lukáš Rohan,Czech Republic,CZE,Summer,2020,Tokyo,Canoe Slalom,"Canadian Singles, Slalom, Men",Silver
Sideris Tasiadis,Germany,GER,Summer,2020,Tokyo,Canoe Slalom,"Canadian Singles, Slalom, Men",Bronze
Ricarda Funk,Germany,GER,Summer,2020,Tokyo,Canoe Slalom,"Kayak Singles, Slalom, Women",Gold
Maialen Chourraut,Spain,ESP,Summer,2020,Tokyo,Canoe Slalom,"Kayak Singles, Slalom, Women",Silver
Jess Fox,Australia,AUS,Summer,2020,Tokyo,Canoe Slalom,"Kayak Singles, Slalom, Women",Bronze
Jess Fox,Australia,AUS,Summer,2020,Tokyo,Canoe Slalom,"Canadian Singles, Slalom, Women",Gold
Mallory Franklin,Uk,GBR,Summer,2020,Tokyo,Canoe Slalom,"Canadian Singles, Slalom, Women",Silver
Andrea Herzog,Germany,GER,Summer,2020,Tokyo,Canoe Slalom,"Canadian Singles, Slalom, Women",Bronze
Sándor Tótka,Hungary,HUN,Summer,2020,Tokyo,Canoe Sprint,"Kayak Singles, 200 Metres, Men",Gold
Manfredi Rizza,Italy,ITA,Summer,2020,Tokyo,Canoe Sprint,"Kayak Singles, 200 Metres, Men",Silver
Liam Heath,Uk,GBR,Summer,2020,Tokyo,Canoe Sprint,"Kayak Singles, 200 Metres, Men",Bronze
Bálint Kopasz,Hungary,HUN,Summer,2020,Tokyo,Canoe Sprint,"Kayak Singles, 1,000 Metres, Men",Gold
Ádám Varga,Hungary,HUN,Summer,2020,Tokyo,Canoe Sprint,"Kayak Singles, 1,000 Metres, Men",Silver
Fernando Pimenta,Portugal,POR,Summer,2020,Tokyo,Canoe Sprint,"Kayak Singles, 1,000 Metres, Men",Bronze
Australia,Australia,AUS,Summer,2020,Tokyo,Canoe Sprint,"Kayak Doubles, 1,000 Metres, Men",Gold
Germany,Germany,GER,Summer,2020,Tokyo,Canoe Sprint,"Kayak Doubles, 1,000 Metres, Men",Silver
Czech Republic,Czech Republic,CZE,Summer,2020,Tokyo,Canoe Sprint,"Kayak Doubles, 1,000 Metres, Men",Bronze
Germany,Germany,GER,Summer,2020,Tokyo,Canoe Sprint,"Kayak Fours, 500 Metres, Men",Gold
Spain,Spain,ESP,Summer,2020,Tokyo,Canoe Sprint,"Kayak Fours, 500 Metres, Men",Silver
Slovakia,Slovakia,SVK,Summer,2020,Tokyo,Canoe Sprint,"Kayak Fours, 500 Metres, Men",Bronze
Isaquias Queiroz,Brazil,BRA,Summer,2020,Tokyo,Canoe Sprint,"Canadian Singles, 1,000 Metres, Men",Gold
Liu Hao,China,CHN,Summer,2020,Tokyo,Canoe Sprint,"Canadian Singles, 1,000 Metres, Men",Silver
Serghei Tarnovschi,Moldova,MDA,Summer,2020,Tokyo,Canoe Sprint,"Canadian Singles, 1,000 Metres, Men",Bronze
Cuba,Cuba,CUB,Summer,2020,Tokyo,Canoe Sprint,"Canadian Doubles, 1,000 Metres, Men",Gold
China,China,CHN,Summer,2020,Tokyo,Canoe Sprint,"Canadian Doubles, 1,000 Metres, Men",Silver
Germany,Germany,GER,Summer,2020,Tokyo,Canoe Sprint,"Canadian Doubles, 1,000 Metres, Men",Bronze
Lisa Carrington,New Zealand,NZL,Summer,2020,Tokyo,Canoe Sprint,"Kayak Singles, 200 Metres, Women",Gold
Teresa Portela,Spain,ESP,Summer,2020,Tokyo,Canoe Sprint,"Kayak Singles, 200 Metres, Women",Silver
Emma Jørgensen,Denmark,DEN,Summer,2020,Tokyo,Canoe Sprint,"Kayak Singles, 200 Metres, Women",Bronze
Lisa Carrington,New Zealand,NZL,Summer,2020,Tokyo,Canoe Sprint,"Kayak Singles, 500 Metres, Women",Gold
