Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal
Rafael Egusquiza Basterra,Spain,ESP,Summer,1960,Roma,Hockey,Hockey Men'S Hockey,Bronze
Naito Ehara,Japan,JPN,Summer,2016,Rio De Janeiro,Swimming,Swimming Men'S 4 X 200 Metres Freestyle Relay,Bronze
Klaus Johannes Ehl,West Germany,FRG,Summer,1972,Munich,Athletics,Athletics Men'S 4 X 100 Metres Relay,Bronze
Wilhelm Ehmer,Germany,GER,Summer,1936,Berlin,Art Competitions,"Art Competitions Mixed Literature, Epic Works",Silver
Marcus Ehning,Germany,GER,Summer,2000,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
Andr Ehrenberg,Germany,GER,Summer,1996,Atlanta,Canoeing,"Canoeing Men'S Canadian Doubles, Slalom",Bronze
Karl Ehrenbolger,Switzerland,SUI,Summer,1924,Paris,Football,Football Men'S Football,Silver
Ralf Ehrenbrink,West Germany,FRG,Summer,1988,Seoul,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Ralf Ehrenbrink,Germany,GER,Summer,1992,Barcelona,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Anneliese Ehrhardt (Jahns-),East Germany,GDR,Summer,1972,Munich,Athletics,Athletics Women'S 100 Metres Hurdles,Gold
Joachim Werner Ehrig,West Germany,FRG,Summer,1972,Munich,Rowing,Rowing Men'S Coxless Fours,Bronze
Wolfgang Ehrl,Germany,GER,Summer,1932,Los Angeles,Wrestling,"Wrestling Men'S Featherweight, Greco-Roman",Silver
Wolfgang Ehrl,Germany,GER,Summer,1936,Berlin,Wrestling,"Wrestling Men'S Lightweight, Freestyle",Silver
Reinhard Eiben,East Germany,GDR,Summer,1972,Munich,Canoeing,"Canoeing Men'S Canadian Singles, Slalom",Gold
Sabine Eichenberger,Switzerland,SUI,Summer,1996,Atlanta,Canoeing,"Canoeing Women'S Kayak Fours, 500 Metres",Silver
Armin Eichholz,West Germany,FRG,Summer,1988,Seoul,Rowing,Rowing Men'S Coxed Eights,Gold
Armin Eichholz,Germany,GER,Summer,1992,Barcelona,Rowing,Rowing Men'S Coxed Eights,Bronze
Willi Eichhorn,Germany,GER,Summer,1936,Berlin,Rowing,Rowing Men'S Coxless Pairs,Gold
Sylvia Eichner,East Germany,GDR,Summer,1972,Munich,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Silver
Bernd Eichwurzel,East Germany,GDR,Summer,1988,Seoul,Rowing,Rowing Men'S Coxed Fours,Gold
Hans Eicke,Germany,GER,Summer,1908,London,Athletics,"Athletics Men'S 1,600 Metres Medley Relay",Silver
"Ulrich ""Ulli"" Eicke",West Germany,FRG,Summer,1984,Los Angeles,Canoeing,"Canoeing Men'S Canadian Singles, 1,000 Metres",Gold
Andrea Eife (-Gemsleben),East Germany,GDR,Summer,1972,Munich,Swimming,Swimming Women'S 4 X 100 Metres Freestyle Relay,Silver
Jakob Thorvald Eigenbrod,Denmark,DEN,Summer,1920,Antwerpen,Hockey,Hockey Men'S Hockey,Silver
Irene Elisabeth Maria Eijs,Netherlands,NED,Summer,1996,Atlanta,Rowing,Rowing Women'S Double Sculls,Bronze
Marten Eikelboom,Netherlands,NED,Summer,2000,Sydney,Hockey,Hockey Men'S Hockey,Gold
Marten Eikelboom,Netherlands,NED,Summer,2004,Athina,Hockey,Hockey Men'S Hockey,Silver
Christoph Eimer,Germany,GER,Summer,2004,Athina,Hockey,Hockey Men'S Hockey,Bronze
Vilhjlmur Einarsson,Iceland,ISL,Summer,1956,Melbourne,Athletics,Athletics Men'S Triple Jump,Silver
Gintaras Einikis,Lithuania,LTU,Summer,1992,Barcelona,Basketball,Basketball Men'S Basketball,Bronze
Gintaras Einikis,Lithuania,LTU,Summer,1996,Atlanta,Basketball,Basketball Men'S Basketball,Bronze
Gintaras Einikis,Lithuania,LTU,Summer,2000,Sydney,Basketball,Basketball Men'S Basketball,Bronze
Thea Einder,West Germany,FRG,Summer,1976,Montreal,Rowing,Rowing Women'S Coxless Pairs,Bronze
John Lincoln Eisele,United States,USA,Summer,1908,London,Athletics,"Athletics Men'S 3,200 Metres Steeplechase",Bronze
